"age","gender","occupation","soc_1","soc_2","soc_3","soc_4","soc_5","soc_6","soc_7","soc_8","soc_9","soc_10","soc_11","soc_12","soc_13","soc_14","soc_15","soc_16","soc_17","soc_18","soc_19","soc_20","soc_21","soc_22","soc_23","soc_24","gbs_1","gbs_2","gbs_3","gbs_4","gbs_5","gbs_6","gbs_7","gbs_8","gbs_9","gbs_10","gbs_11","gbs_12"
18,"female","current student",3,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,5,4,4,4,4,2,4,3,5,4,4,4,4,2,2,2,2,3,2
41,"female","part-time",2,2,1,3,2,1,3,4,3,5,4,4,2,3,3,4,2,3,2,3,1,2,3,4,3,4,2,4,4,3,4,3,3,4,3,2
20,"female","current student",4,4,4,5,5,5,5,4,4,5,4,4,4,4,5,5,5,4,2,4,4,4,2,5,3,4,3,4,4,4,3,5,3,3,2,3
35,"female","unemployed",1,3,3,2,2,1,4,2,4,5,4,3,4,3,3,4,4,4,4,4,4,1,1,2,3,3,3,3,3,2,4,2,4,4,3,2
22,"female","employed",1,4,4,4,2,2,1,4,4,4,4,4,2,2,4,4,2,4,2,4,1,4,4,4,2,4,3,2,2,2,4,4,4,2,4,2
56,"female","unemployed",4,4,4,2,4,3,4,2,4,4,4,4,3,4,4,4,4,5,2,4,4,4,2,4,4,4,4,4,4,4,2,2,2,2,2,2
53,"male","employed",3,3,4,3,4,3,3,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2
47,"female","part-time",4,5,4,4,4,4,5,4,4,5,4,5,4,4,4,4,4,5,4,4,3,4,4,5,4,4,4,4,4,4,2,2,1,2,2,1
21,"female","employed",5,2,4,4,4,3,4,5,4,4,3,3,4,3,3,4,5,5,4,4,5,5,5,5,3,4,3,3,4,3,3,4,3,2,2,3
22,"female","employed",3,4,3,3,3,4,3,2,4,4,3,4,4,4,3,4,4,5,3,4,4,3,3,4,3,3,3,3,4,3,4,4,2,4,3,3
21,"male","part-time",2,4,3,2,4,3,3,3,5,4,5,4,4,4,3,4,4,5,3,4,3,4,2,4,4,4,4,3,4,3,3,2,3,3,3,2
21,"female","current student",4,5,4,5,5,5,4,3,4,5,5,4,4,5,4,4,4,5,4,3,5,5,4,4,4,5,4,4,5,4,2,2,1,2,1,1
