"age","gender","occupation","soc_1","soc_2","soc_3","soc_4","soc_5","soc_6","soc_7","soc_8","soc_9","soc_10","soc_11","soc_12","soc_13","soc_14","soc_15","soc_16","soc_17","soc_18","soc_19","soc_20","soc_21","soc_22","soc_23","soc_24","gbs_1","gbs_2","gbs_3","gbs_4","gbs_5","gbs_6","gbs_7","gbs_8","gbs_9","gbs_10","gbs_11","gbs_12"
20,"female","unemployed",2,4,2,2,5,2,4,5,3,4,2,2,3,2,3,2,5,4,3,5,2,4,2,5,2,5,3,2,4,4,4,5,5,3,3,2
30,"male","employed",3,4,4,3,4,2,4,3,3,4,4,3,3,4,4,3,4,4,4,4,3,4,4,5,3,4,3,4,4,4,2,3,2,2,2,3
57,"female","employed",5,4,4,3,5,4,4,5,5,5,3,4,3,4,5,4,4,3,3,5,4,4,5,5,4,4,4,4,4,5,1,1,1,1,1,1
19,"other","unemployed",5,5,4,4,4,5,5,5,4,3,2,5,4,2,4,4,5,4,4,5,4,4,1,4,3,4,5,3,5,4,4,3,1,2,4,2
23,"female","employed",2,4,5,3,3,2,3,2,4,4,5,4,3,4,4,5,3,3,2,4,5,3,3,4,3,4,4,4,3,4,2,2,3,1,4,3
18,"female","current student",4,3,4,4,4,4,5,5,4,4,4,5,4,3,4,3,4,5,4,4,3,5,4,4,4,4,3,2,4,4,3,3,2,3,2,2
45,"female","part-time",4,2,3,3,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,3,4,4,4,3,4,3,4,2,2,2,1,3,2
47,"male","employed",5,4,2,3,2,3,3,4,4,4,4,4,4,4,5,5,5,5,3,3,5,4,2,5,3,5,4,4,3,4,2,1,2,2,3,2
22,"female","part-time",3,5,4,4,5,4,4,5,5,4,4,4,5,5,4,5,4,5,2,4,4,4,2,5,4,4,4,4,3,4,2,2,1,3,2,2
53,"male","unemployed",2,5,4,4,3,2,3,5,5,4,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,1,2,2
20,"female","current student",5,4,3,3,4,5,4,3,4,5,5,5,4,5,3,4,4,5,4,5,5,5,3,4,4,4,5,4,4,5,2,2,2,2,1,2
21,"prefer not to say","searching for employment",2,2,1,3,3,2,2,4,4,4,5,5,4,5,4,5,4,5,3,2,4,2,1,2,3,4,2,2,4,2,5,3,4,5,3,4
20,"other","current student",3,4,4,4,5,5,4,2,4,5,5,5,4,4,4,4,4,5,2,4,2,2,2,2,3,4,4,4,5,4,1,2,2,2,3,1
19,"other","current student",4,5,4,5,5,5,5,2,3,5,5,5,4,4,4,5,3,5,4,4,4,4,4,3,4,3,4,4,4,4,3,3,3,3,3,2
39,"female","employed",1,2,4,3,2,2,2,4,2,3,4,3,3,4,3,5,2,4,2,2,2,2,4,4,4,3,4,3,3,4,4,3,2,2,2,3
20,"female","current student",4,4,5,4,4,5,5,2,5,5,5,4,5,5,4,5,4,4,4,5,5,4,3,4,4,4,5,4,4,4,2,2,2,3,2,2
47,"male","employed",3,3,4,3,1,2,2,1,3,5,5,3,3,5,3,3,4,4,3,2,4,4,2,4,3,4,3,5,3,4,3,3,3,2,3,3
51,"female","employed",3,4,3,3,4,3,4,2,4,4,3,4,4,4,4,5,4,4,3,4,3,4,2,5,3,4,4,4,4,4,2,2,2,2,2,3
47,"female","employed",4,5,5,5,5,5,5,2,5,5,5,4,5,5,5,5,5,5,4,5,4,5,5,4,5,5,4,4,5,5,1,2,1,1,1,1
24,"female","current student",1,2,2,2,3,2,2,2,3,3,3,4,3,3,3,1,5,1,4,2,4,4,1,4,3,3,3,3,2,2,5,4,5,5,5,4
20,"other","current student",3,4,2,3,4,4,4,2,3,4,4,4,4,4,2,4,4,4,3,3,4,2,3,4,3,4,4,3,3,3,4,3,4,4,2,3
59,"male","employed",2,4,4,4,4,2,3,4,4,4,4,4,3,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,2,2,2,2,2,2
19,"male","current student",2,3,3,4,4,4,4,4,4,3,4,4,4,4,3,3,4,4,4,3,4,4,2,4,4,4,3,4,4,3,4,4,2,3,2,2
20,"male","current student",5,5,3,3,4,4,5,2,3,4,4,4,4,5,4,5,4,5,5,4,2,5,5,4,4,5,5,5,3,5,2,2,1,3,1,2
19,"prefer not to say","current student",5,4,4,3,5,5,4,3,4,5,4,5,4,4,5,5,5,5,4,4,4,4,5,2,3,4,4,4,4,4,4,3,4,2,2,3
41,"female","employed",2,4,4,2,4,2,2,1,4,4,4,4,4,4,3,4,4,4,3,3,4,2,4,4,3,4,3,3,2,3,4,4,2,4,4,3
20,"female","employed",3,5,5,4,4,4,5,3,4,4,4,5,4,4,4,5,4,4,3,4,5,4,4,5,4,5,4,4,3,4,1,1,2,2,2,1
21,"male","current student",4,4,4,5,3,5,5,5,4,5,5,5,4,4,5,5,4,4,4,4,4,4,3,5,4,5,5,5,5,4,2,1,1,1,1,1
20,"female","current student",3,3,5,3,5,3,3,4,4,3,4,4,4,4,4,4,5,5,4,4,4,4,2,4,4,3,3,3,2,4,3,4,2,5,4,3
18,"male","current student",4,3,4,3,5,4,4,3,4,4,4,4,4,4,5,4,4,5,4,4,5,4,4,5,4,5,4,4,4,5,3,2,1,2,2,2
22,"male","current student",5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,4,2,4,2,5,5,5,5,5,5,5,1,1,1,1,1,1
16,"female","current student",4,5,3,3,4,4,4,2,3,5,4,3,3,5,4,4,4,4,4,4,4,5,4,4,3,3,4,3,3,4,5,4,5,5,4,4
26,"male","employed",4,2,3,3,5,5,4,2,4,3,5,4,4,5,3,4,4,5,4,2,4,5,3,4,3,4,3,4,3,3,4,3,5,4,3,3
20,"female","part-time",2,2,2,4,3,2,3,2,2,4,4,4,2,2,4,4,2,2,2,4,3,3,2,4,3,4,3,3,3,4,4,4,4,3,4,3
20,"male","current student",5,4,2,3,4,5,3,2,4,4,5,4,5,4,4,5,4,5,4,3,3,5,4,5,4,5,5,3,5,5,3,1,2,2,2,1
20,"female","part-time",4,2,1,2,3,3,3,2,3,4,3,2,3,4,2,4,4,5,4,4,4,5,4,5,3,4,4,2,3,3,4,4,4,4,2,2
19,"male","unemployed",4,2,3,4,5,5,2,4,4,5,5,4,5,4,5,5,3,4,2,3,3,2,2,4,4,5,4,4,3,4,2,1,2,2,1,1
20,"female","current student",4,4,4,3,4,4,3,2,4,4,4,4,4,4,3,4,3,4,3,4,3,3,3,4,4,4,4,4,4,4,2,3,2,2,2,2
20,"female","current student",5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,5,5,5,4,4,5,4,4,5,4,4,4,4,5,5,2,2,2,2,2,1
19,"male","current student",3,3,3,2,4,4,4,2,4,5,4,4,4,4,4,4,3,4,2,4,3,4,2,4,4,5,4,4,4,3,3,3,1,3,2,2
19,"male","current student",4,4,4,4,5,5,3,2,4,4,5,4,5,5,4,4,5,5,4,5,5,3,3,4,4,4,4,5,4,4,2,2,3,2,3,1
20,"female","current student",4,4,4,4,3,5,4,4,3,4,4,4,3,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,2,1,3,2,2,1
53,"female","employed",3,2,3,4,4,3,4,5,4,5,4,5,4,5,5,5,5,4,5,3,4,5,5,4,5,5,5,5,4,5,1,1,1,2,1,1
26,"female","part-time",3,3,3,3,3,4,4,4,3,5,4,4,4,4,4,5,3,5,3,3,3,4,4,4,4,5,4,4,4,5,2,1,1,3,1,1
24,"female","employed",2,3,3,2,4,5,4,5,4,5,3,3,4,4,4,4,3,4,2,4,2,4,3,4,4,5,4,4,5,4,2,2,2,2,3,1
21,"female","current student",2,4,2,4,2,5,3,4,4,5,3,4,3,5,3,5,2,4,1,2,1,3,1,4,3,5,4,5,5,3,4,4,1,2,3,2
54,"male","employed",2,5,5,5,4,2,1,4,5,4,4,5,3,4,5,5,2,4,2,4,2,2,5,4,4,4,4,4,4,4,4,1,1,1,4,1
20,"female","current student",2,5,4,3,5,5,5,2,4,5,5,3,5,5,4,5,3,5,3,5,4,4,4,4,4,4,5,5,5,5,2,1,5,3,1,3
18,"female","current student",4,3,4,4,3,4,2,1,3,2,3,3,4,4,3,5,4,3,3,3,3,3,4,4,4,5,4,4,4,4,3,2,2,3,3,2
20,"female","current student",2,4,4,1,4,4,4,4,2,2,4,4,4,3,4,4,4,3,4,4,4,4,4,5,2,1,4,1,1,4,2,2,2,3,2,2
21,"female","current student",4,4,4,3,4,4,5,3,4,5,4,5,4,3,4,4,4,2,5,4,3,4,5,4,5,4,4,4,4,5,3,4,3,3,3,2
20,"female","current student",5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,4,2,2,2,4,1,2,3,4,5,1,1,3
20,"male","current student",3,4,3,4,4,3,4,4,3,4,4,4,4,4,3,4,4,4,4,3,3,4,4,4,3,4,4,4,4,4,2,2,1,1,3,2
18,"male","unemployed",4,4,4,4,3,5,5,4,4,5,5,4,5,4,4,5,5,5,4,5,4,5,4,4,4,5,4,4,4,4,2,3,2,4,1,2
19,"male","current student",3,2,4,4,4,3,3,3,5,5,4,4,4,5,4,4,4,5,2,4,2,4,2,5,4,4,4,4,4,4,1,2,1,1,1,2
21,"female","current student",2,3,4,4,3,4,2,4,4,3,4,4,4,3,4,4,3,4,4,4,4,3,4,4,4,4,3,4,3,3,3,3,2,2,2,3
19,"female","current student",5,5,4,5,4,5,5,4,4,5,4,5,4,5,5,5,4,5,2,5,4,4,4,5,4,5,4,4,4,5,2,2,1,2,1,1
20,"male","current student",4,4,3,4,4,4,5,3,4,4,5,4,3,4,4,4,4,5,4,4,4,4,2,5,4,5,3,3,4,4,3,2,1,2,2,2
18,"female","current student",2,2,2,2,4,2,4,4,2,2,3,1,2,1,1,2,1,4,2,2,3,3,4,4,2,3,1,2,3,2,4,5,4,4,4,2
25,"female","employed",2,2,4,3,4,3,2,4,2,2,2,5,1,1,4,4,3,3,3,4,3,4,4,4,2,4,2,3,2,2,3,3,3,4,4,2
50,"male","employed",3,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,2,2,2,2,3,2
19,"male","current student",2,3,3,3,3,3,3,4,4,4,5,4,3,3,4,4,4,3,3,4,3,3,4,3,3,4,3,3,4,3,3,4,3,3,3,2
21,"female","current student",4,5,4,5,4,5,4,2,4,5,4,4,4,4,4,4,4,5,2,4,3,4,4,5,3,4,4,3,4,4,2,2,2,2,2,2
28,"male","employed",3,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,5,4,4,3,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1
19,"male","employed",5,5,5,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1
20,"male","current student",5,4,4,5,3,4,4,1,3,4,5,5,5,4,4,5,4,4,2,4,4,4,2,4,4,4,4,2,3,4,2,4,4,3,2,2
19,"female","current student",2,3,3,4,3,4,2,1,3,4,5,4,3,5,5,4,4,2,1,2,4,2,1,4,3,4,2,3,4,3,3,3,4,3,3,2
22,"female","current student",3,5,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,5,3,4,4,4,4,4,4,4,4,4,4,4,2,2,2,1,2,2
20,"male","part-time",5,5,5,5,5,3,5,4,5,5,5,4,5,5,4,4,5,5,4,5,5,5,5,5,4,5,4,4,4,5,3,2,1,3,2,2
18,"female","current student",3,4,4,5,5,4,4,5,5,5,5,4,4,5,5,5,5,4,3,4,5,5,5,5,5,5,4,4,5,5,1,1,1,1,5,1
75,"female","retired",4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,2,2,1
19,"female","current student",3,5,4,4,4,4,4,3,5,4,5,4,5,4,4,5,4,4,4,4,4,4,3,4,4,4,4,2,4,4,2,2,2,2,2,2
20,"female","current student",4,5,5,5,4,4,4,4,5,4,5,4,5,5,4,4,5,4,4,4,5,5,4,5,4,5,4,4,4,4,2,2,2,2,3,3
20,"female","current student",5,5,4,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,4,2,1,1,1,3,1
20,"other","current student",3,2,3,2,3,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,3,4,4,5,4,4,4,5,2,2
20,"male","current student",4,4,2,3,4,3,5,3,5,5,5,5,4,5,5,5,5,5,5,4,4,5,3,3,4,5,4,4,4,4,2,2,2,3,2,2
20,"male","current student",4,5,5,4,5,5,5,4,5,5,4,4,4,4,4,4,4,5,4,5,5,4,5,5,5,4,4,5,4,4,2,1,1,1,2,2
20,"female","current student",3,5,5,5,4,5,4,1,4,5,4,4,5,4,4,4,4,4,4,5,1,4,4,4,4,5,5,4,5,5,4,5,5,4,5,2
20,"male","current student",3,4,3,3,3,5,3,2,4,4,5,4,2,5,3,4,4,4,4,4,2,4,2,3,3,4,4,4,4,4,3,3,3,3,4,2
20,"female","current student",1,5,4,2,4,4,3,1,4,4,5,5,4,4,3,4,4,4,3,4,4,4,2,4,3,4,4,4,4,4,4,3,3,4,2,3
21,"male","current student",4,4,2,2,4,4,3,2,4,4,4,3,5,4,5,3,5,5,5,3,4,5,3,4,4,5,2,2,3,2,4,2,3,2,3,2
21,"other","current student",3,4,5,5,5,5,4,2,5,5,5,5,4,5,5,5,4,5,4,4,5,5,5,5,4,5,4,4,4,4,4,3,3,4,3,3
23,"female","employed",3,3,3,4,3,3,3,4,3,3,4,3,3,3,4,4,3,4,3,4,3,3,3,4,3,3,3,3,3,3,3,4,3,4,2,3
22,"prefer not to say","employed",1,5,3,4,4,3,3,5,4,5,5,4,4,3,3,5,4,5,1,1,5,4,3,4,4,4,4,3,3,4,4,3,3,4,3,1
53,"female","employed",3,4,4,4,4,2,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,4,4,5,4,4,2,2,2,2,2,2
54,"male","employed",2,4,3,3,4,3,3,4,5,5,4,4,4,4,4,5,3,4,2,3,3,3,4,4,3,4,4,4,4,4,2,1,2,2,2,2
19,"female","employed",2,4,4,4,4,4,4,5,5,5,5,4,4,4,3,5,4,5,4,5,4,4,4,4,4,5,4,4,4,4,1,2,1,2,1,1
51,"female","employed",3,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,4,4,4,5,4,4,5,5,5,5,5,5,5,5,1,1,1,1,1,1
20,"female","current student",4,5,4,4,5,5,3,3,4,5,5,5,4,4,4,4,3,5,4,3,4,5,2,4,3,4,4,4,4,4,3,3,2,2,3,1
20,"female","employed",3,4,4,4,4,3,4,3,4,5,4,4,4,4,5,5,5,4,4,2,4,4,4,4,4,4,3,4,3,4,1,1,2,2,2,2
22,"female","employed",3,2,1,1,4,1,2,4,3,3,1,2,1,3,2,4,5,5,2,1,1,5,3,4,3,4,4,2,5,2,5,3,5,5,3,5
21,"female","current student",2,4,4,3,2,2,2,4,2,4,3,3,2,3,3,3,2,4,3,4,4,2,2,4,2,3,3,2,3,3,2,4,3,4,4,4
52,"female","employed",5,4,5,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,4,5,5,5,1,1,1,1,1,1
48,"female","employed",5,3,3,1,3,2,5,2,5,5,5,5,5,5,4,5,4,5,5,5,4,5,2,5,5,5,4,4,5,4,1,1,1,1,1,1
19,"female","current student",2,2,4,3,4,4,3,2,3,2,4,3,4,4,3,3,4,4,4,4,3,4,4,4,3,3,3,3,4,3,4,4,4,4,3,2
53,"female","employed",5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,2,1,1,1,1,2
46,"female","employed",3,2,1,2,2,2,4,4,4,4,5,4,4,4,4,4,4,4,4,2,4,4,3,4,4,3,3,3,4,4,3,4,2,3,2,4
42,"male","employed",5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1
18,"male","current student",4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,4,5,4,5,5,5,5,5,5,5,1,1,1,3,1,1
20,"female","current student",4,4,5,4,4,4,4,2,4,4,4,4,3,4,3,5,4,5,4,5,5,4,5,4,3,5,4,3,4,4,3,2,2,2,2,1
19,"male","current student",2,5,4,4,3,2,4,5,2,4,5,3,4,3,3,4,4,4,4,5,4,4,1,4,3,4,3,4,3,4,1,3,3,1,1,3
45,"female","employed",4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2
34,"female","employed",5,4,4,3,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,4,5,4,4,1,1,1,3,3,1
25,"female","current student",3,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,4,4,2,2,4,2,1,2,4,4,4,4,4,4,2,2,2,4,2,1
36,"female","employed",3,4,4,4,4,3,3,3,4,4,4,4,5,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,2,1,3,2,2,2
20,"female","current student",4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,5,5,4,4,4,4,4,4,4,4,5,4,4,2,2,1,3,3,2
55,"female","employed",4,3,5,5,4,3,4,5,4,5,4,4,4,4,5,5,4,4,4,5,3,5,5,5,5,5,4,5,4,4,2,2,2,2,2,2
39,"female","employed",2,5,4,4,4,3,3,4,4,5,4,4,3,3,3,4,4,4,3,4,4,4,4,4,3,4,4,5,4,4,1,1,1,1,2,1
58,"female","part-time",2,2,2,2,2,2,4,2,4,4,4,2,2,5,4,4,4,4,4,3,4,4,2,4,4,4,4,4,4,3,4,3,4,2,3,2
56,"female","employed",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1
40,"male","employed",3,4,4,3,4,3,4,3,3,4,4,4,4,4,4,4,4,4,3,3,4,3,3,3,3,4,4,4,3,3,2,2,2,2,3,4
35,"female","employed",4,4,4,2,4,4,4,3,4,5,4,4,4,4,4,4,4,4,4,2,4,4,4,4,3,4,4,4,4,3,2,2,2,2,3,2
38,"female","employed",2,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4,4,2,4,4,5,4,5,4,4,4,5,4,4,2,2,2,2,2,2
21,"female","current student",2,5,4,4,4,4,4,5,4,5,4,4,4,5,4,4,4,5,4,4,4,4,4,4,4,5,4,4,4,5,1,1,2,1,1,1
22,"female","employed",2,4,5,4,4,5,4,3,4,5,5,5,5,5,5,5,3,5,3,4,3,3,3,4,3,4,4,4,4,3,2,2,2,2,3,2
48,"female","employed",4,5,4,2,5,2,4,2,4,5,5,5,4,5,4,5,5,5,4,4,4,4,2,4,4,5,4,4,4,4,2,2,2,2,2,1
46,"male","employed",4,4,4,4,4,3,4,5,5,5,5,4,5,5,5,5,4,4,4,5,3,4,4,5,4,5,5,4,5,5,2,1,1,1,2,2
41,"female","employed",3,3,2,2,4,4,4,4,4,5,4,4,5,5,5,5,4,5,4,4,4,4,3,4,5,5,4,4,4,4,3,3,2,2,2,2
51,"male","employed",2,4,4,4,2,3,4,4,4,4,4,4,3,2,4,1,4,5,2,4,4,2,2,2,4,4,4,4,4,4,2,2,2,2,3,2
20,"female","current student",2,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,2,4,3,4,4,4,4,4,4,4,4,4,2,1,2,2,2,2
19,"female","current student",4,4,4,4,4,5,5,2,3,4,3,4,4,5,5,2,3,5,2,4,3,3,2,4,3,4,2,3,2,2,5,2,5,4,4,2
55,"female","employed",2,4,4,4,3,3,4,4,5,4,4,4,4,4,4,5,2,4,2,4,4,2,1,4,4,5,4,4,3,3,1,1,1,1,2,1
20,"male","current student",4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,5,4,4,3,2,4,3,4,4,3,3,4,2,4,2,2,2,2
20,"female","current student",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,2,5,5,5,5,5,5,5,1,1,1,1,1,1
24,"female","employed",5,4,4,3,4,4,4,3,5,5,4,4,4,4,3,4,4,5,4,3,5,5,4,5,4,4,4,4,5,5,2,2,2,2,2,2
21,"female","current student",5,4,5,2,2,4,5,2,4,4,4,2,4,3,3,4,4,5,4,4,4,5,5,5,4,4,4,4,4,4,2,2,2,2,2,2
20,"male","employed",3,4,4,4,4,4,4,4,5,4,4,5,4,5,3,5,5,5,5,4,4,4,4,4,3,4,3,4,4,4,1,1,2,2,2,3
21,"female","employed",5,5,4,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1
20,"male","employed",4,5,5,5,5,5,5,1,5,5,5,5,5,1,5,5,4,2,3,5,4,5,3,4,4,5,5,3,4,4,2,2,1,1,2,1
19,"female","current student",5,4,5,4,4,4,4,4,4,5,4,4,3,4,4,3,5,5,5,3,4,4,3,4,4,4,3,4,4,5,2,2,2,3,3,2
23,"male","employed",4,4,3,3,4,3,4,3,4,4,5,4,4,4,5,5,5,5,3,4,5,4,4,5,3,5,4,4,4,3,2,2,1,2,1,1
23,"female","employed",5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,4,5,3,5,4,5,5,5,5,5,5,4,1,1,1,2,1,1
21,"female","current student",3,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,4,5,3,5,5,5,5,5,3,5,5,5,5,5,1,1,1,1,1,1
19,"male","employed",1,2,3,3,4,2,2,5,4,5,4,4,4,5,4,3,4,4,2,4,4,4,5,3,3,3,3,2,3,3,5,4,5,5,5,3
48,"male","employed",2,2,3,2,4,3,2,4,4,4,4,4,4,3,4,4,4,4,2,3,2,3,4,4,4,4,4,4,4,4,2,2,2,2,2,2
19,"female","current student",5,4,4,4,4,4,4,5,4,4,2,5,4,4,4,5,4,5,4,4,2,2,4,2,4,5,3,4,4,4,4,1,1,5,4,1
19,"female","current student",4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,4,4,4,4,4,5,4,5,4,4,4,4,3,2,4,3,3,2
20,"female","current student",2,2,2,4,2,4,2,4,3,4,4,4,3,4,4,4,2,4,2,4,2,2,2,4,4,4,4,2,3,4,4,3,4,4,4,3
19,"female","current student",2,2,3,4,4,4,4,5,4,5,5,5,5,5,5,5,2,4,2,4,2,2,2,5,4,5,4,4,4,4,2,1,1,2,3,1
21,"male","current student",3,4,4,5,4,4,4,5,5,5,5,4,4,5,4,4,4,4,4,5,4,4,4,4,4,5,4,4,4,4,1,1,2,1,2,2
21,"female","current student",2,4,4,3,3,4,2,1,4,5,4,4,3,4,3,5,4,4,1,2,2,3,3,4,3,5,4,4,3,4,4,3,3,3,2,2
19,"female","part-time",5,4,5,4,5,5,4,2,4,5,4,4,4,4,5,4,5,5,5,5,4,5,5,5,5,5,4,4,4,5,2,2,2,1,2,2
42,"female","employed",4,4,4,3,3,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,2,3,2,2,2,2
22,"female","searching for employment",2,4,4,4,3,2,3,5,4,4,4,4,3,5,4,4,4,5,3,4,4,5,4,4,3,3,2,3,3,3,4,3,3,4,3,2
44,"female","employed",2,2,2,3,4,3,2,1,2,4,4,3,2,3,2,2,3,5,4,4,2,2,2,4,5,3,4,4,4,3,2,2,2,2,2,3
21,"female","current student",4,4,4,4,5,4,5,2,4,4,4,4,4,4,4,5,4,5,4,4,4,5,4,4,4,4,4,4,4,4,2,2,2,2,2,2
14,"male","current student",4,2,5,3,1,5,3,4,4,2,4,1,4,3,4,1,4,3,2,2,3,1,4,1,2,5,4,5,4,2,3,2,1,5,5,4
21,"prefer not to say","unemployed",3,2,2,2,3,2,3,4,1,4,1,2,1,1,2,2,4,4,4,2,2,2,3,2,3,2,2,1,3,1,4,2,2,5,4,2
24,"female","employed",4,3,3,3,4,2,4,5,4,4,4,4,4,3,3,4,3,4,4,2,3,4,5,4,4,4,4,4,4,4,2,2,2,2,2,2
21,"female","unemployed",3,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,2,4,2,4,3,5,4,4,4,4,4,4,2,2,2,2,2,2
22,"female","employed",2,3,4,4,3,4,3,4,4,4,4,4,3,3,4,3,4,4,3,4,3,4,4,4,4,4,4,4,4,4,2,3,2,2,3,3
51,"female","employed",2,3,2,4,3,2,4,4,4,4,2,3,4,2,2,4,4,3,2,4,2,2,4,4,3,4,3,4,4,2,4,4,4,4,4,4
23,"female","employed",4,5,3,4,4,5,4,3,4,4,3,4,4,4,4,4,3,4,5,4,4,5,4,4,3,4,4,4,3,4,3,3,3,4,3,3
21,"other","current student",2,5,2,2,3,3,3,2,4,4,4,4,3,4,4,3,4,5,3,3,2,2,1,2,2,4,3,2,3,3,4,5,4,4,4,4
55,"female","employed",5,4,5,3,4,4,5,2,4,4,5,4,5,5,4,3,4,5,5,5,5,5,5,5,5,4,5,5,5,5,1,1,2,1,1,1
20,"female","current student",5,5,4,2,4,3,5,2,4,5,3,4,4,4,3,5,5,5,4,3,3,5,2,3,3,5,3,4,3,4,4,2,3,4,3,3
20,"female","current student",3,5,4,5,5,5,5,3,4,5,5,4,5,4,4,5,4,5,3,5,3,4,2,4,5,5,4,5,5,5,2,1,2,1,1,1
19,"female","current student",5,4,4,4,5,4,5,4,4,5,4,5,5,4,4,5,5,5,4,5,4,4,4,5,4,4,5,4,4,4,4,2,2,3,2,2
20,"female","current student",2,2,2,2,4,3,2,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3,3,2,2,2,4
19,"female","current student",4,4,4,4,4,5,5,1,5,5,4,4,4,4,4,4,4,5,4,3,5,4,2,2,4,4,4,4,4,4,2,3,4,2,2,2
20,"female","current student",5,4,4,2,5,4,4,2,5,4,5,5,4,5,4,3,4,5,5,3,5,5,4,4,4,3,4,4,4,4,2,2,4,2,1,2
24,"female","current student",4,4,4,4,4,2,5,1,4,4,5,3,4,4,2,3,4,5,4,2,4,4,4,4,3,1,2,3,4,2,4,4,5,3,3,4
19,"female","part-time",5,4,4,4,4,5,3,3,5,5,5,4,4,5,4,5,4,4,3,4,4,3,2,4,4,5,4,4,5,5,1,2,1,1,2,2
20,"female","current student",2,2,4,4,4,4,2,2,4,5,4,5,3,5,4,5,3,4,2,4,4,2,2,4,3,5,4,3,4,3,4,2,2,2,2,1
53,"female","employed",3,3,4,4,4,4,3,5,4,4,4,4,4,4,3,4,4,5,3,4,2,3,4,4,4,5,4,4,4,4,1,2,2,1,2,2
23,"male","employed",5,4,5,4,5,4,5,4,4,5,5,4,4,5,4,5,2,5,2,4,1,4,3,4,5,5,5,5,5,4,1,2,1,1,1,2
50,"female","part-time",2,4,4,4,3,4,3,4,4,5,5,4,3,3,4,4,3,4,4,4,3,4,4,4,5,5,4,4,4,3,1,1,1,1,1,1
19,"female","current student",2,4,4,2,4,3,2,4,5,2,5,5,5,5,3,4,4,5,4,4,5,4,2,5,3,5,4,4,5,4,3,2,4,2,2,2
20,"male","current student",5,4,4,3,5,5,5,2,1,1,5,1,3,2,1,2,5,5,5,5,4,5,5,5,3,5,2,1,2,4,4,5,1,4,4,4
19,"male","employed",4,4,5,5,4,4,4,5,4,2,4,4,4,5,5,4,5,5,4,4,5,4,5,5,4,4,4,4,4,4,2,2,1,2,2,2
55,"female","employed",2,2,2,2,4,2,3,2,4,4,4,3,3,4,4,4,4,4,2,4,4,4,5,4,4,3,4,4,4,4,2,2,2,2,2,2
