"","age","gender","occupation","qqm","dsse_1","dsse_2","dsse_3","dsse_4","dsse_5","dsse_6","dsse_7","dsse_8","dsse_9","dsse_10","dsse_11","dsse_12","dsse_13","dsse_14","dsse_15","dsse_16","dsse_17","dsse_18","dsse_19","dsse_20","dsse_21","dsse_22","dsse_23","dsse_24","dsse_25","sise","open"
"102",22,"1","1","2",5,5,4,2,1,2,1,2,1,4,2,5,2,4,2,5,5,4,5,5,4,2,2,2,1,4,4
"103",20,"2","1","2",5,5,5,4,3,5,5,4,4,5,3,5,5,3,5,5,4,4,4,4,4,4,4,4,5,2,2
"104",27,"2","2","2",4,4,4,4,3,4,3,4,4,4,3,4,4,4,4,5,4,4,5,5,4,5,4,5,5,3,3
"105",46,"1","2","2",5,4,4,3,3,4,3,2,2,4,3,4,3,3,3,4,5,2,4,4,4,4,2,5,4,4,4
"106",27,"2","2","2",5,5,4,3,3,5,2,4,5,4,4,4,5,4,4,4,5,2,5,5,4,5,3,5,5,3,3
"107",29,"2","2","2",2,1,4,4,2,1,2,4,2,1,2,2,2,2,4,4,4,2,1,4,2,5,2,5,1,2,2
"108",25,"1","2","2",4,1,3,2,1,4,2,3,2,1,4,2,2,2,3,3,4,1,5,5,5,4,1,5,2,5,5
"109",19,"2","2","2",4,4,2,3,3,4,2,3,5,4,4,4,4,4,5,5,5,5,5,5,4,3,4,4,4,1,1
"110",20,"1","1","2",4,4,4,4,2,4,4,4,2,2,3,4,4,3,4,4,5,3,4,5,4,3,2,4,3,3,3
"111",19,"2","1","2",4,4,1,4,1,5,3,2,3,5,5,5,5,4,2,4,5,5,5,5,4,3,5,3,4,1,1
"112",20,"1","1","2",4,4,4,4,2,4,2,2,2,4,3,2,2,3,4,4,4,4,4,4,4,4,2,5,3,3,3
"113",20,"2","1","2",3,3,3,1,1,4,1,1,1,4,2,1,4,5,5,5,5,1,5,4,4,4,4,5,4,1,1
"114",21,"2","1","2",4,4,4,2,1,4,2,2,4,4,5,5,4,4,4,4,4,4,5,5,5,4,2,3,2,1,1
"115",32,"1","2","2",3,4,3,4,3,4,3,4,2,4,4,3,4,3,3,4,4,2,2,5,4,5,4,5,4,3,3
"116",21,"1","2","2",4,4,5,3,1,4,2,4,1,1,1,1,4,5,3,4,4,3,1,1,2,5,1,5,4,5,5
"117",21,"2","1","2",4,2,4,1,1,4,1,1,1,1,4,4,2,5,4,4,4,3,1,4,2,5,1,5,4,3,3
"118",48,"2","4","2",4,4,2,3,1,4,3,3,3,4,3,3,3,4,4,5,4,2,4,4,4,3,2,4,4,1,1
"119",20,"1","1","2",5,4,4,4,4,5,2,3,1,4,4,3,4,3,4,4,4,4,4,4,3,4,3,5,4,2,2
"120",19,"2","1","2",5,2,4,3,4,4,4,4,4,2,4,2,4,2,3,4,5,4,5,4,4,2,2,2,4,2,2
"121",18,"2","1","2",4,3,4,2,2,4,3,2,2,3,2,3,3,3,4,4,4,2,4,3,3,4,3,4,2,2,2
"122",55,"2","2","2",4,5,5,4,4,5,3,3,4,2,5,4,5,4,4,5,5,2,5,5,5,5,2,5,5,2,2
"123",50,"2","2","2",4,4,4,4,2,4,3,4,2,3,2,2,4,4,4,4,4,2,4,4,4,4,3,4,2,3,3
"124",49,"1","2","2",4,4,3,1,1,4,3,2,3,2,2,3,3,4,4,4,4,3,4,4,4,4,2,5,4,3,3
"125",20,"1","1","2",5,4,2,3,1,5,2,1,2,3,3,4,4,4,5,5,5,4,5,4,3,4,4,5,3,1,1
"126",42,"2","2","2",4,4,2,4,2,4,3,4,1,4,2,4,4,4,4,4,4,4,3,4,4,3,3,4,3,1,1
"127",53,"2","4","2",4,2,4,3,2,4,2,3,2,2,2,2,2,4,4,4,4,2,3,4,3,4,2,5,4,4,4
"128",22,"2","1","2",3,3,2,1,1,4,2,1,5,5,5,5,5,4,5,5,3,5,4,3,4,4,3,5,4,1,1
"129",18,"2","1","2",4,5,3,4,2,1,2,4,2,4,5,3,5,4,4,4,4,2,3,3,2,4,4,4,3,3,3
"130",21,"1","1","2",5,3,3,2,1,4,3,1,3,2,3,2,4,3,4,4,4,4,4,4,5,5,4,4,3,2,2
"131",21,"2","1","2",4,5,4,4,3,5,2,4,2,5,4,5,5,4,4,4,4,2,5,5,4,4,4,4,1,2,2
"132",19,"2","2","2",5,2,4,4,4,5,3,4,3,4,2,4,5,3,3,4,5,2,4,4,2,4,2,3,2,3,3
"133",21,"1","1","2",5,5,3,3,3,5,4,3,3,4,4,4,5,4,2,4,4,3,4,4,3,4,3,4,2,1,1
