ID,Progress,Duration,age,qqm,gender,gender_3_TEXT,oc_stat,RS_1,RS_2,RS_3,RS_4,RS_5,RS_6,RS_7,RS_8,RS_9,RS_10,RS_11,RS_12,RS_13,RS_14,RS_15,RS_16,RS_17,RS_18,RS_19,RS_20,RS_21,RS_22,RS_23,RS_24,RS_25,RIES_1,RIES_2,RIES_3,RIES_4,RIES_5,RIES_6,RIES_7,RIES_8,RIES_9,RIES_10,RIES_11,RIES_12,RIES_13,RIES_14,RIES_15,RIES_16,RIES_17,RIES_18,RIES_19,RIES_20,RIES_21,RIES_22,RIES_23,RIES_24,RIES_25
60,82,2562,22,2,2,,3,3,2,3,2,2,2,5,5,5,3,6,2,4,3,2,2,3,5,5,2,4,6,2,3,2,4,1,3,2,2,2,2,4,3,2,2,2,2,2,3,2,2,4,4,2,2,2,2,3,2
61,82,1767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,82,105,,1,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,82,349,,2,1,,3,5,3,3,1,2,2,5,4,4,4,4,3,2,4,3,3,4,4,3,2,2,6,3,3,5,2,2,4,4,4,2,2,2,4,2,3,2,4,2,3,2,2,2,3,3,3,3,2,2,2
64,82,212,,2,2,,2,3,2,1,6,1,1,4,2,4,2,3,3,2,4,3,2,3,6,2,2,2,3,4,4,1,4,4,3,4,3,2,2,2,4,4,3,3,3,3,3,3,5,5,4,2,4,3,2,2,3
65,82,182,19,2,2,,3,3,2,2,3,1,2,3,2,4,5,5,2,3,2,3,2,5,3,5,5,4,5,2,3,5,2,4,2,2,4,2,2,2,3,2,3,4,3,3,3,2,4,2,1,3,2,2,2,2,2
66,82,411,52,2,1,,1,3,2,3,1,3,2,2,2,4,3,2,2,2,3,3,3,2,3,2,2,2,3,1,2,3,2,3,2,3,4,2,4,2,2,4,2,3,4,3,3,2,2,2,2,4,4,4,4,2,3
67,82,1121,19,2,1,,3,5,2,2,3,2,1,2,5,3,3,6,2,2,2,2,1,5,3,2,1,7,2,3,6,2,4,4,4,3,4,1,4,2,2,5,1,5,4,1,3,1,2,2,3,3,5,5,4,3,2
68,82,540,20,2,2,,3,4,2,2,2,2,2,3,3,5,3,3,3,4,3,2,2,2,3,2,3,3,3,2,3,3,3,2,2,2,2,1,3,4,3,2,3,2,2,4,2,2,2,4,3,2,2,2,3,3,2
69,82,655,27,2,1,,1,6,3,2,3,2,6,2,2,2,2,4,4,2,6,6,3,3,2,3,3,3,6,2,5,2,2,4,4,4,5,2,2,2,2,2,4,2,4,2,4,2,2,4,4,4,3,2,4,3,2
70,82,272,20,2,2,,3,2,2,1,3,3,3,3,3,4,2,4,2,2,4,2,2,6,3,3,2,2,6,2,3,6,3,2,2,2,1,2,1,4,3,3,2,4,3,1,3,4,2,2,2,2,1,1,2,2,2
71,82,4218,56,2,2,,1,1,2,2,2,2,1,2,3,1,2,1,1,2,2,2,3,2,1,6,2,1,6,2,2,6,1,5,1,1,5,1,5,1,2,5,4,4,2,1,1,1,4,4,1,5,1,5,2,1,1
72,82,128722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,82,577,20,2,1,,3,1,1,2,1,1,2,3,4,2,3,4,5,1,1,3,1,3,1,1,1,2,4,1,4,1,2,5,1,5,3,1,3,4,4,5,2,3,5,2,1,2,1,1,1,4,5,3,4,3,3
74,82,300,23,2,2,,3,1,2,4,1,2,2,3,4,2,1,5,5,2,2,2,3,5,2,1,2,2,6,2,2,3,2,2,4,4,2,1,2,3,1,3,1,2,1,2,2,1,2,2,1,4,1,2,1,2,1
75,82,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,82,774,21,2,2,,3,3,2,5,3,4,2,4,4,5,3,6,5,1,5,4,3,5,4,3,3,4,5,3,5,4,5,2,4,2,1,2,2,3,4,2,4,4,4,4,4,4,1,4,4,2,1,2,2,2,2
77,82,329,20,2,2,,3,3,4,7,2,2,2,3,6,2,2,6,2,3,6,3,2,6,1,2,2,3,3,4,2,7,3,4,3,3,3,2,3,3,3,2,2,4,3,2,3,2,2,2,2,4,4,3,5,2,3
78,82,482,,2,2,,1,2,3,1,2,1,2,4,1,2,2,4,6,2,2,4,2,2,2,2,1,1,4,5,3,2,1,2,3,2,2,5,2,3,4,2,2,1,2,1,3,2,2,2,3,1,3,1,2,3,2
79,82,302,18,2,2,,3,3,1,1,3,1,6,2,5,4,4,7,3,2,1,6,3,6,6,2,1,5,2,3,2,2,2,3,2,5,5,1,5,1,2,3,5,2,,3,4,1,5,2,2,4,5,3,5,1,5
80,82,475,,2,2,,1,2,1,1,2,2,1,2,2,2,2,5,3,2,1,3,2,3,2,2,5,1,3,2,2,2,2,4,1,4,4,2,4,2,2,4,3,3,5,2,2,2,4,1,3,5,4,1,4,1,3
81,82,392,21,2,2,,1,1,1,1,2,2,3,2,2,2,1,2,3,2,2,2,2,1,2,3,1,3,5,1,2,2,2,5,3,5,3,1,3,2,2,4,3,3,4,2,3,2,2,1,1,4,4,3,4,1,4
82,82,851,19,2,1,,3,5,3,5,2,5,2,5,5,7,4,3,2,6,6,2,1,6,6,2,2,6,6,2,2,2,2,3,5,3,4,2,3,3,3,4,4,5,4,2,4,3,1,3,5,4,4,4,4,4,4
83,82,1123,21,2,2,,2,2,3,3,3,2,5,4,7,5,4,5,3,3,3,5,3,6,2,2,2,7,5,3,6,1,3,4,4,5,4,2,4,4,4,4,3,4,2,3,2,2,2,2,2,4,3,2,2,2,3
84,82,247,24,2,1,,1,3,2,3,2,3,2,3,2,2,3,2,3,3,3,3,2,3,3,2,3,2,6,3,3,2,2,4,2,2,4,2,4,4,2,4,2,4,4,2,2,2,2,2,2,2,4,4,2,3,4
85,82,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,82,398,22,2,2,,3,5,3,6,2,2,1,6,6,6,2,6,6,5,5,6,2,5,3,3,3,3,5,2,6,6,4,2,1,4,2,1,2,4,4,4,2,2,4,2,4,4,1,4,5,4,2,4,2,2,5
87,82,413,25,2,2,,1,3,3,3,2,2,4,5,4,5,4,6,2,4,5,3,3,5,3,3,2,4,5,3,5,4,2,1,4,3,1,2,2,2,4,2,4,2,3,2,4,3,2,4,4,2,1,2,1,3,1
88,82,306,21,2,2,,3,6,5,5,3,2,5,4,4,6,6,6,5,4,7,6,3,6,4,2,4,6,6,3,7,2,5,2,5,3,2,2,1,3,5,3,4,1,1,4,5,4,2,4,4,2,4,3,4,2,2
89,82,81,26,2,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,82,587,29,2,2,,2,2,1,2,2,1,3,2,1,1,1,1,3,1,2,3,1,2,1,1,3,7,4,1,3,1,1,5,3,5,1,1,3,3,2,3,1,5,5,1,2,1,2,2,2,4,1,5,3,1,3
91,82,686,32,2,2,,4,5,2,6,3,3,3,6,4,3,3,6,3,4,6,4,4,5,5,3,4,1,6,5,5,3,3,2,2,1,2,2,1,3,4,2,4,5,5,2,3,2,1,4,5,2,1,2,2,3,3
92,82,295,19,2,2,,3,3,2,1,2,1,2,3,2,3,2,2,3,1,3,2,2,3,2,3,2,2,3,2,4,3,2,3,3,3,4,3,3,4,3,3,3,2,4,2,2,3,3,2,3,3,2,4,2,3,2
93,82,482,19,2,1,,3,3,3,4,2,2,3,4,2,4,3,2,3,2,3,2,2,2,2,3,2,2,4,3,3,2,2,3,3,3,4,2,3,3,4,3,3,3,3,2,3,2,2,2,3,3,4,3,2,3,3
94,82,438,19,2,1,,3,1,1,1,2,1,1,2,1,1,2,2,3,1,1,1,1,3,1,1,2,1,2,1,1,2,3,1,1,4,5,1,1,1,3,1,3,3,1,1,1,2,1,1,1,3,4,2,1,1,2
95,82,635,21,2,1,,3,1,1,2,2,1,6,3,4,5,1,5,6,3,2,2,4,3,2,2,1,3,6,3,3,6,2,4,2,4,2,2,4,4,2,1,2,2,3,2,4,2,4,2,2,4,2,2,2,2,2
96,82,218,21,2,1,,3,3,5,5,3,3,4,4,4,6,6,1,5,2,7,2,1,5,3,4,5,4,5,3,3,3,4,1,2,3,3,2,2,2,3,3,3,3,2,1,3,3,2,4,2,2,3,2,2,1,2
97,82,397,19,2,2,,3,2,2,2,2,2,5,4,6,2,2,3,2,4,4,4,1,2,2,4,2,2,4,2,6,5,4,4,3,3,2,4,4,3,2,4,1,2,4,2,2,3,2,2,2,4,4,5,2,2,3
98,82,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,82,332,20,2,2,,3,1,2,1,1,1,3,4,3,2,1,7,5,2,2,2,2,5,1,2,3,4,5,3,5,2,2,2,2,4,1,1,3,5,2,4,2,5,2,3,3,2,2,2,2,2,2,2,2,4,1
100,82,6384,19,2,2,,3,3,1,4,5,3,2,1,4,5,2,3,1,2,2,4,4,3,3,2,1,3,4,2,3,6,3,2,2,3,2,1,3,4,3,4,2,3,5,2,3,3,1,5,3,4,2,2,2,2,2
101,82,2146,25,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,82,793,20,2,2,,3,3,2,3,2,2,2,2,3,2,2,5,2,2,2,2,2,3,2,2,3,1,3,2,2,4,2,2,2,4,4,3,4,2,3,4,2,3,3,2,2,3,2,3,3,4,3,2,4,2,4
103,82,11261,19,2,2,,3,2,2,6,4,1,3,3,2,5,5,6,2,3,6,3,3,6,2,2,5,2,6,3,6,2,2,3,2,4,5,1,4,4,1,2,4,5,4,1,3,3,2,2,2,3,4,2,4,3,3
